scenario,method,true,estimate,se,covered,rep,seed
Complete,Mediator-as-state,1.0454800384363627,0.5604166444256097,0.09384987982976342,0,2,258979447
Complete,Post-action leakage,1.0454800384363627,0.6882095608644995,0.09989879688421162,0,2,258979447
Complete,Oracle state,1.0454800384363627,0.9125037412059489,0.0924153204545198,1,2,258979447
Observed-state MAR,Untyped naive contrast,1.0443027042885347,2.153977653485676,0.1798119276835375,0,2,258979447
Observed-state MAR,Coarse locked state,1.0443027042885347,1.262747680063137,0.1082574458689741,0,2,258979447
Observed-state MAR,Design erasure,1.0443027042885347,1.4756079108197124,0.11117661948379338,0,2,258979447
Observed-state MAR,Admissible refinement,1.0443027042885347,1.267104814888031,0.10584415628887202,0,2,258979447
Observed-state MAR,IPCW admissible refinement,1.0443027042885347,1.2704625042583326,0.1056169383324534,0,2,258979447
Observed-state MAR,Mediator-as-state,1.0443027042885347,0.9006319994300277,0.11048010039521272,1,2,258979447
Observed-state MAR,Post-action leakage,1.0443027042885347,1.056232423451886,0.10711392915548276,1,2,258979447
Observed-state MAR,Oracle state,1.0443027042885347,1.2756508735243846,0.10452535910048218,0,2,258979447
Complete,Untyped naive contrast,1.1028186913004105,1.652068285010285,0.1424654186269505,0,3,3425084772
Complete,Coarse locked state,1.1028186913004105,0.9427272705625335,0.09421679929785713,1,3,3425084772
Complete,Design erasure,1.1028186913004105,1.070592486049948,0.09338752766073675,1,3,3425084772
Complete,Admissible refinement,1.1028186913004105,0.8961146046440518,0.09255416101079958,0,3,3425084772
Complete,Mediator-as-state,1.1028186913004105,0.5662753166265617,0.09667883002581423,0,3,3425084772
Complete,Post-action leakage,1.1028186913004105,0.7418669972140902,0.09785819410947741,0,3,3425084772
Complete,Oracle state,1.1028186913004105,0.8940281442311262,0.09154268691001842,0,3,3425084772
Observed-state MAR,Untyped naive contrast,1.0909600083196633,2.0261125846289043,0.17383436741772693,0,3,3425084772
Observed-state MAR,Coarse locked state,1.0909600083196633,1.110627782762327,0.11057945501081069,1,3,3425084772
Observed-state MAR,Design erasure,1.0909600083196633,1.3810935159834683,0.10317137326571593,0,3,3425084772
Observed-state MAR,Admissible refinement,1.0909600083196633,1.1605956564173636,0.10342786945469565,1,3,3425084772
Observed-state MAR,IPCW admissible refinement,1.0909600083196633,1.1514600976718503,0.10420413406421646,1,3,3425084772
Observed-state MAR,Mediator-as-state,1.0909600083196633,0.726697298123063,0.11022653594624354,0,3,3425084772
Observed-state MAR,Post-action leakage,1.0909600083196633,0.899118475882877,0.11072054835497012,1,3,3425084772
Observed-state MAR,Oracle state,1.0909600083196633,1.1858602248202377,0.09856031693964006,1,3,3425084772
Complete,Untyped naive contrast,1.0868306185776788,1.8342840405554126,0.14424646430787538,0,4,2574815734
Complete,Coarse locked state,1.0868306185776788,1.0480609533319367,0.08902384670298365,1,4,2574815734
Complete,Design erasure,1.0868306185776788,1.1983053595619533,0.08470867895620975,1,4,2574815734
Complete,Admissible refinement,1.0868306185776788,1.0515255405023833,0.08420497273185935,1,4,2574815734
Complete,Mediator-as-state,1.0868306185776788,0.6732932355621992,0.09245959507358076,0,4,2574815734
Complete,Post-action leakage,1.0868306185776788,0.8258115444980864,0.09860614756440489,0,4,2574815734
Complete,Oracle state,1.0868306185776788,1.0788822019272128,0.08384288598062162,1,4,2574815734
Observed-state MAR,Untyped naive contrast,1.0983092795028078,1.8549863369376594,0.16233094725549005,0,4,2574815734
Observed-state MAR,Coarse locked state,1.0983092795028078,1.1212811516653907,0.11745546850558454,1,4,2574815734
Observed-state MAR,Design erasure,1.0983092795028078,1.246900742400501,0.11664473872719346,1,4,2574815734
Observed-state MAR,Admissible refinement,1.0983092795028078,1.1038126689869798,0.11494717599984788,1,4,2574815734
Observed-state MAR,IPCW admissible refinement,1.0983092795028078,1.10535682023294,0.11521477303047602,1,4,2574815734
Observed-state MAR,Mediator-as-state,1.0983092795028078,0.7592526950181802,0.11339481534641577,0,4,2574815734
Observed-state MAR,Post-action leakage,1.0983092795028078,0.8894720503448758,0.11397156075855913,1,4,2574815734
Observed-state MAR,Oracle state,1.0983092795028078,1.1462179305793625,0.1079505692444331,1,4,2574815734
Complete,Untyped naive contrast,1.0502293452036904,1.6868494695599399,0.16955613366239153,0,5,171735213
