variant,method,true,estimate,se,covered,rep,seed
Baseline,Admissible refinement,1.0731982391229062,1.0680583390245306,0.07718077172141273,1,17,542256143
Baseline,Oracle state,1.0731982391229062,1.079601604558089,0.07578104318575449,1,17,542256143
Positivity stress,Design erasure,1.0837577576410997,1.4251105756896099,0.09409444621440832,0,17,542256143
Positivity stress,Admissible refinement,1.0837577576410997,1.1325052567322416,0.09658297642833558,1,17,542256143
Positivity stress,Oracle state,1.0837577576410997,1.1371487697188487,0.09478493246992228,1,17,542256143
Outcome compression,Design erasure,1.045097550126004,1.1175937732897603,0.09251790034010965,1,17,542256143
Outcome compression,Admissible refinement,1.045097550126004,1.0583341156771098,0.09399638042987023,1,17,542256143
Outcome compression,Oracle state,1.045097550126004,1.0498791842401065,0.09230430840097266,1,17,542256143
Nonclassical representation,Design erasure,1.0447719904955155,1.1598437274044264,0.09919660148542025,1,17,542256143
Nonclassical representation,Admissible refinement,1.0447719904955155,1.0988646552952563,0.10080410684415725,1,17,542256143
Nonclassical representation,Oracle state,1.0447719904955155,1.0756309098956613,0.09656592767057767,1,17,542256143
Baseline,Design erasure,1.087602444323499,1.312959560357073,0.08583036174145556,0,18,3611347208
Baseline,Admissible refinement,1.087602444323499,1.1511854273319206,0.08761343338309587,1,18,3611347208
Baseline,Oracle state,1.087602444323499,1.1484681335579425,0.08687049174712544,1,18,3611347208
Positivity stress,Design erasure,1.0585553000819763,1.363890407797772,0.08409884811643766,0,18,3611347208
Positivity stress,Admissible refinement,1.0585553000819763,1.0825249351504045,0.09117412804108417,1,18,3611347208
Positivity stress,Oracle state,1.0585553000819763,1.0422436078177417,0.08969538584303641,1,18,3611347208
Outcome compression,Design erasure,1.0797869386454255,1.1387064543265266,0.09882713328046847,1,18,3611347208
Outcome compression,Admissible refinement,1.0797869386454255,1.0733114061000006,0.10119580927006992,1,18,3611347208
Outcome compression,Oracle state,1.0797869386454255,1.0806992571480003,0.10067756477498734,1,18,3611347208
Nonclassical representation,Design erasure,1.0680536300770054,1.1305007927464037,0.0829152922854387,1,18,3611347208
Nonclassical representation,Admissible refinement,1.0680536300770054,1.1110711217932316,0.0870509791758615,1,18,3611347208
Nonclassical representation,Oracle state,1.0680536300770054,1.1141708542511257,0.08386534065727344,1,18,3611347208
Baseline,Design erasure,1.0608354649334477,1.3591818736561012,0.10059816540012223,0,19,4079956413
Baseline,Admissible refinement,1.0608354649334477,1.177669500698323,0.09507520380984946,1,19,4079956413
Baseline,Oracle state,1.0608354649334477,1.1759208931902851,0.09504776262975823,1,19,4079956413
Positivity stress,Design erasure,1.0600655027205876,1.3110293333412806,0.10613332573840209,0,19,4079956413
Positivity stress,Admissible refinement,1.0600655027205876,1.0250794186870698,0.1077092101195294,1,19,4079956413
Positivity stress,Oracle state,1.0600655027205876,1.026571120599592,0.10377463906046958,1,19,4079956413
Outcome compression,Design erasure,1.0641316700863612,1.1115777288351896,0.09989231737959525,1,19,4079956413
